#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####################
#	Modifiers
####################
strongest_orc;Strongest Orc;;;;;;;;;;;;;x

################
#	Events
################
EVTDESCmep_inherit_events.1;Decide the Strongest Orc.;;;;;;;;;;;;;x
EVTOPTAmep_inherit_events.1;Candidate 1;;;;;;;;;;;;;x
EVTOPTBmep_inherit_events.1;Candidate 2;;;;;;;;;;;;;x
EVTOPTCmep_inherit_events.1;Candidate 3;;;;;;;;;;;;;x
EVTOPTDmep_inherit_events.1;Candidate 4;;;;;;;;;;;;;x
EVTOPTEmep_inherit_events.1;End Strongest Contest;;;;;;;;;;;;;x
EVTTTLmep_inherit_events.11;Strongest Rises;;;;;;;;;;;;;x
EVTDESCmep_inherit_events.11;There's been a brawl amongst the rabble and [orc_heir.GetFirstName] seems to have cowed the rest of the Horde, who all now tremble before him.;;;;;;;;;;;;;x
EVTOPTAmep_inherit_events.11;Hmm;;;;;;;;;;;;;x
EVTTTLmep_inherit_events.21;Rule of the Strongest;;;;;;;;;;;;;x
EVTDESCmep_inherit_events.21;[From.GetFirstName] has died and in his place, the greatest of his followers, [heir.GetFirstName], has risen to lead the horde.;;;;;;;;;;;;;x
EVTOPTAmep_inherit_events.21;Cower before [heir.GetFirstName]!;;;;;;;;;;;;;x
