#######
#Titles
#######
k_thorin_company;Thorin and Company;;;;;;;;;;;;;x
k_thorin_company_adj;Thorin;;;;;;;;;;;;;x
d_thorin_company;Bilbo of Thorin and Company;;;;;;;;;;;;;x
d_thorin_company_adj;Bilbo;;;;;;;;;;;;;x
TNC_THORIN;Thorin;;;;;;;;;;;;;x
TNC_THORIN_FOA;Thorin;;;;;;;;;;;;;x
TNC_BILBO;Bilbo;;;;;;;;;;;;;x
TNC_BILBO_FOA;Bilbo;;;;;;;;;;;;;x

##########
#Events
##########
EVTTTLmep_fvarmy_events.1;Thorin Meets Gandalf;;;;;;;;;;;;;x
EVTDESCmep_fvarmy_events.1;You press down the unease in your gut enter the Prancing Pony and sit at one of the back tables. You wait for several hour for your contact to show, only appearing when you've decided to leave. "My name is Gandalf," he tells you. After a short conversation about Erebor, he turns over to you a map and key.;;;;;;;;;;;;;x
EVTOPTAmep_fvarmy_events.1;Now all we need is a Burglar.;;;;;;;;;;;;;x
EVTTTLmep_fvarmy_events.11;Bilbo Joins the Company;;;;;;;;;;;;;x
EVTDESCAmep_fvarmy_events.11;While Gandalf rages about the cowardly Hobbit, you and the Company collect your gear and mount up on the ponies. As your company nears the outskirts of this village, you hear "Wait! I'm coming!" from behind you. The little Hobbit races up to your party with an eagerness absent the night before.;;;;;;;;;;;;;x
EVTDESCBmep_fvarmy_events.11;In the morning, you catch sight of Bullroarer's portrait on the wall and Gandalf's words repeat in your head. In the morning's light, you find your courage and race out after the Company. "What for me!" you shout as you find the Company on the outskirts of Hobbiton.;;;;;;;;;;;;;x
EVTDESCCmep_fvarmy_events.11;"Foolish, stubborn Hobbit." You shout at the ether. "Master Wizard, are you joining us?" one of the dwarves calls to you. You nod and throw out your arms as you mount your horse, grumbling under your breath. As the party reaches the Hobbiton outskirts, you hear "I'm coming" being shouted.;;;;;;;;;;;;;x
EVTOPTAmep_fvarmy_events.11;Give him a Pony.;;;;;;;;;;;;;x
