#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
become_corrupt_tooltip;Beware, this path is one of Darkness and you will be corrupted if you take this path;;;;;;;;;;;;;x

potion;Potion;;;;;;;;;;;;x

artifact_potion;Potion;;;;;;;;;;;;;x
artifact_potion_desc;Wait, so you are going to put pigs feed and spit on me, and that'll fix it?;;;;;;;;;;;;;x

spell_fatigue1;Light Fatigue;;;;;;;;;;;;;x
spell_fatigue2;Moderate Fatigue;;;;;;;;;;;;;x
spell_fatigue3;Utter Fatigue;;;;;;;;;;;;;x
shield_of_light;Shield of Light;;;;;;;;;;;;;x

obj_mastery_music_title;Gain Musical Mastery;;;;;;;;;;;;;x
obj_mastery_music_desc;You seek mastery of all musical methods;;;;;;;;;;;;;x
obj_mastery_craft_title;Gain Crafting Mastery;;;;;;;;;;;;;x
obj_mastery_craft_desc;You seek mastery of all crafting methods;;;;;;;;;;;;;x
obj_mastery_sorcery_title;Gain Dark Arts Mastery;;;;;;;;;;;;;x
obj_mastery_sorcery_desc;You seek mastery of the Dark Arts;;;;;;;;;;;;;x
obj_mastery_healing_title;Gain Healing Mastery;;;;;;;;;;;;;x
obj_mastery_healing_desc;You seek mastery of all methods, Curative;;;;;;;;;;;;;x
obj_mastery_combat_title;Gain Combat Mastery.;;;;;;;;;;;;;x
obj_mastery_combat_desc;You seek mastery of all things Combat;;;;;;;;;;;;;x
obj_change_profession_title;Change Professions;;;;;;;;;;;;;x
obj_change_profession_desc;You seek abandon your previous practices for a new hobby;;;;;;;;;;;;;x

crafter_commission;Commission Craft;;;;;;;;;;;;;x
crafter_commission_desc;You can commission [Root.GetFirstName] in crafting a Weapon or Armor;;;;;;;;;;;;;x
sorcerer_sacrifice;Sacrifice;;;;;;;;;;;;;x
sorcerer_sacrifice_desc;As a sorcerer, you can sacrifice [Root.GetFirstName] in attempt to restore Dark magic;;;;;;;;;;;;;x
sorcerer_dark_heal;Dark Heal;;;;;;;;;;;;;x
sorcerer_dark_heal_desc;As a sorcerer, you can call on dark magic to restore [Root.GetFirstName], though it has its dangers;;;;;;;;;;;;;x
sorcerer_invoke_illness;Invoke Curse;;;;;;;;;;;;;x
sorcerer_invoke_illness_desc;As a sorcerer, you can call on dark magic to curse[Root.GetFirstName];;;;;;;;;;;;;x
sorcerer_force_suicide;Dying Whisper;;;;;;;;;;;;;x
sorcerer_force_suicide_desc;As a sorcerer, you can call on dark magic to force [Root.GetFirstName]'s death;;;;;;;;;;;;;x
sorcerer_break_shield;Overwhelming Darkness;;;;;;;;;;;;;x
sorcerer_break_shield_desc;As a sorcerer, you can call on dark magic to shatter [Root.GetFirstName]'s protective wards;;;;;;;;;;;;;x
healer_craft_potion;Craft Potion;;;;;;;;;;;;;x
healer_craft_potion_desc;As a healer, you can craft restorative potions;;;;;;;;;;;;;x
healer_fix_character;Heal [Root.GetFirstName];;;;;;;;;;;;;x
healer_fix_character_desc;As a healer, you can restore [Root.GetFirstName] to perfect health;;;;;;;;;;;;;x
healer_imp_fertility;Blessings of Fertility;;;;;;;;;;;;;x
healer_imp_fertility_desc;As a healer, you can boost [Root.GetFirstName]'s fertility;;;;;;;;;;;;;x
healer_protection;Protection from Darkness;;;;;;;;;;;;;x
healer_protection_desc;As a healer, you can cast a protection hedge around [Root.GetFirstName];;;;;;;;;;;;;x

EVTDESCAprofession_events.11;You've gain an appreciation for music in all its forms.;;;;;;;;;;;;;x
EVTDESCBprofession_events.11;You've gain an appreciation for crafting in all its forms.;;;;;;;;;;;;;x
EVTDESCCprofession_events.11;You've gain an appreciation for magic in all its forms.;;;;;;;;;;;;;x
EVTDESCDprofession_events.11;You've gain an appreciation for healing in all its forms.;;;;;;;;;;;;;x
EVTOPTAprofession_events.11;Very Well;;;;;;;;;;;;;x
